country,id,year,electricity_access,rural_electricity_access,urban_electricity_access,fdi,gdp,gdp_per_capita,inflation,life_expectancy,popu_growth,popu_total,rural_popu_growth,urban_popu_growth,unemployment
Mali,MLI,2019,47.9,15.2,90.9,-858.0678442,4.756160808,2.437558036,-1.658266948,59.664,3.126669914,20.567424,1.764296485,2.414,4.951455588
Mali,MLI,2020,50.6,16.8,93.9,-535.6968161,-1.235450447,2.351289606,0.43808894,58.633,3.142603659,21.22404,1.773893183,3.528,4.918746329
Mali,MLI,2021,53.4,18.3,96.9,-584.0690237,3.052613569,2.399461535,3.925602831,58.941,3.157964369,21.904983,1.779305136,2.29,4.891910534
Mali,MLI,2022,53,18.3,99.7,-671.8362045,3.474951711,2.576659105,9.621476085,59.417,3.095209254,22.59359,1.711937322,3.09,4.781999432
Malta,MLT,2019,100,100,100,-10861.63282,7.124261217,50.327684554388796,1.642060018,82.85853659,3.931356319,0.504062,2.69765877,3.627,4.001157807
Malta,MLT,2020,100,100,100,-11137.47553,-8.156778765,46.46692996,0.638544957,82.34878049,2.211207678,0.515332,0.964542275,4.357,2.280824975
Malta,MLT,2021,100,100,100,-11604.40582,12.51394717,53.492204848471005,1.497892179,82.50731707,0.619810316,0.518536,-0.644470544,3.403,0.689481948
Malta,MLT,2022,100,100,100,-10921.04172,8.075539118,59.28426557,6.153756219,82.7,2.396534832,0.531113,1.137971343,2.929,2.464974727
Marshall Islands,MHL,2019,96.8,100,95.4,-5.164920156,10.35782945,5.9404005104961595,,64.746,-2.780253373,0.044728,-4.472289999,,-2.281228926
Marshall Islands,MHL,2020,98.3,100,95.7,-3.045061113,-2.845981661,6.02468032,,64.977,-2.98407683,0.043413,-4.671332022,,-2.497205788
Marshall Islands,MHL,2021,99.8,100,96,-0.499428443,1.112300902,6.5774891774217705,,65.269,-3.189954901,0.04205,-4.856715999,,-2.719255182
Marshall Islands,MHL,2022,100,100,96.1,,-0.675525739,7.0739682,,65.146,-1.150468925,0.041569,-2.80495421,,-0.693058478
Mauritania,MRT,2019,44.9,,85.5,883.5611158,3.14100487,5.7174490402670095,2.300092621,65.687,2.614654755,4.383849,0.795850236,10.416,4.158421052
Mauritania,MRT,2020,45.4,,87.5,-927.9162658,-0.360657379,5.870299805,2.385694885,64.532,2.58400208,4.498604,0.765087692,11.01,4.077189084
Mauritania,MRT,2021,47.7,,89.7,-1061.518903,0.7427155,5.988203551,3.565164847,64.364,2.553910771,4.614974,0.733250156,11.068,4.000166347
Mauritania,MRT,2022,49,,91.6,-1401.620462,6.387023096,6.644775199505361,9.525266286,64.691,2.591601268,4.736139,0.774291763,10.602,3.989160291
Mauritius,MUS,2019,100,100,100,-3545.223802,2.891284993,24.02711893,0.40565519,74.23585366,0.032233064,1.265985,0.077908014,6.331,-0.034096699
Mauritius,MUS,2020,99.5,99.5,99.4,12733.70324,-14.54653815,21.3262244,2.580800772,74.17707317,0.00229068,1.266014,0.012400984,8.627,-0.012401683
Mauritius,MUS,2021,99.6,99.8,99.3,2426.797665,3.403798662,22.73757294,4.028528882,73.6802439,0.025272988,1.266334,-0.000133336,7.719,0.062186707
Mauritius,MUS,2022,100,100,99,9339.260069,8.87988519,26.57975609,10.77375122,73.51463415,-0.301401217,1.262523,-0.360522486,6.322,-0.215590864
Mexico,MEX,2019,99.6,98.3,99.9,-23861.92985,-0.251335755,21.0957137,3.635961421,74.202,0.86026509,125.085311,-0.601693316,3.477,1.21892136
Mexico,MEX,2020,99.4,97.7,99.8,-26490.31648,-8.624555731,19.473088490687402,3.396834156,70.133,0.727243816,125.998302,-0.751209475,4.441,1.083378227
Mexico,MEX,2021,100,100,99.9,-35611.9814,5.739208338,21.13191576,5.689208477,70.213,0.559420832,126.705138,-0.930688376,4.019,0.911823977
Mexico,MEX,2022,100,100,99.8,-21784.38873,3.948999999,23.85912564,7.896276192,74.832,0.628607803,127.504125,-0.878691643,3.256,0.978542829
"Micronesia, Fed. Sts.",FSM,2019,80.1,75.6,95.1,,4.081632653,3.68158457,1.923851708,71.077,0.404844283,0.111379,0.263225478,,0.885521283
"Micronesia, Fed. Sts.",FSM,2020,81.9,77.5,96.4,,-1.960784314,3.6333471818151404,0.554594631,70.674,0.650605244,0.112106,0.49429229,,1.177704009
"Micronesia, Fed. Sts.",FSM,2021,83.6,79.4,97.6,,2.8,3.870932404,3.191284066,70.71,0.9101587,0.113131,0.734589392,,1.497924004
"Micronesia, Fed. Sts.",FSM,2022,85.3,79.4,98.6,,-0.778210117,4.074040638,5.408743755,70.925,0.908957181,0.114164,0.715544031,,1.551302925
Middle East & North Africa,MEA,2019,97.13248396,93.62049398,99.6403671,,1.378349639,17.31502453,1.005820047,73.95911501,1.747742061,473.201775,0.898527137,9.75438802,2.20458512
Middle East & North Africa,MEA,2020,97.23154128,93.81004288,99.64735665,,-4.023299372,16.37495233,0.705968661,72.94976833,1.429596075,479.966649,0.707693563,10.49328368,1.812987515
Middle East & North Africa,MEA,2021,97.29148355,93.90230871,99.65419332,,5.572890856,17.91500558,2.304465657,72.74567801,1.293446954,486.174763,0.567987485,10.10860054,1.674544789
Middle East & North Africa,MEA,2022,97.37330154,94.08575602,99.76873259,,5.748362666,19.98015946,4.994765964,73.21126325,1.46134817,493.279469,0.620031323,9.556759969,1.898498123
Middle East & North Africa (IDA & IBRD countries),TMN,2019,96.61257757,93.221442,99.54821488,,1.11023485,11.52912057,2.478578852,73.11939013,1.718570967,400.574097,0.945441023,11.3500578,2.210338485
